id,season,no_of_episode_season,title,imdb_rating,synopsis
11,2,4,Brian in Love,7.4,"Stewie is blamed for urinating all over the house; however, it is actually Brian who is responsible for it. The next morning, Peter decides to potty train Stewie, with little success. When the family goes to the local supermarket to buy groceries, Brian urinates when they are at the checkout line, revealing to the family that Stewie is innocent. The family attempts to counsel Brian with therapy, where Brian's psychiatrist Dr. Kaplan believes that he is having a mid-life crisis. Brian attempts to entertain himself by exploring the world, but upon returning home, Stewie gets revenge on Brian and frames him by urinating all over the living room. Brian is falsely accused and the family return him to Dr. Kaplan to find the true cause. After revealing that his most recent accident happened after watching Lois and Peter engaging in a water fight on the car, Dr. Kaplan informs Brian that he is most likely in love with Lois. After discussing the situation, both agree to remain friends. Afterwards, Brian decides to live life to the fullest by golfing with Peter on the local golf course."
12,2,5,Love Thy Trophy,7.7,"The neighbors fight over a trophy won for the best parade float, and when it ends up getting stolen, everyone in town becomes a prime suspect. Meanwhile, Meg takes a job as a waitress at a pancake restaurant to earn money for a Prada bag, and claims that Stewie is her crack-addicted son for sympathy tips."
13,2,6,Death Is a Bitch,8.2,"Peter gets out of paying a hefty hospital bill by declaring that he's dead, only to get a surprise visit from Death himself. However, Death injures his ankle while chasing Peter and is unable to do his job, which makes everyone on Earth immortal, so Peter must stand in as the new Grim Reaper."
14,2,7,The King Is Dead,7.3,"Lois is appointed the director of Quahog's theatre company after the former director dies and attempts to produce The King and I. She appoints Peter as the producer to keep him out of her way, but his plans to recreate the play send him on a power trip that replaces her as the show's director."
15,2,8,"I Am Peter, Hear Me Roar",8,"After telling a sexist joke at work, Peter is forced to go to a women's retreat camp and comes back a sensitive feminist. Lois and the others become greatly disturbed by his new attitude, and when his condition worsens, they do everything in their power to restore his manhood."
16,2,9,"If I'm Dyin', I'm Lyin'",7.3,"When Peter and Chris' favorite TV show is cancelled, Peter pretends Chris is terminally ill and tells the ""Grant-A-Dream Foundation"" that his ""final wish"" is to get the show back on the air. When Chris does not die, however, Peter goes too far and declares himself to be a healer, starting his own religion."
17,2,10,Running Mates,7.4,"Lois runs for President of the Quahog School Board, but Peter runs against her so he can save the job of his favorite teacher from his high school years, smearing Lois' image and winning by a landslide. But things take a turn for the worse when Chris is caught with pornography in school, so Peter must set all things right."
18,2,11,"A Picture is Worth 1,000 Bucks",7.2,"Peter begins to fear that his name will be forgotten, and strives to start a legacy of his own. When he sells a painting Chris gave him to an art gallery, Peter discovers that he can use Chris' talents to fulfill this dream, taking the family to New York to see Chris become famous."
19,2,12,Fifteen Minutes of Shame,7.5,"After being embarrassed by her family during her slumber party, Meg brings them on a daytime talk show out of revenge, where a TV producer turns the Griffins' dysfunctional life into a reality show titled ""The Real Life Griffins"". Things go awry and Meg abandons everyone; as a result, an actress is brought in to play Meg on ""The Real Life Griffins"", and soon Meg finds that the rest of the family have been replaced by celebrity actors Tom Arnold, Fran Drescher, Philip Seymour Hoffman, and Mary-Kate and Ashley Olsen."
20,2,13,Road to Rhode Island,8.1,"Brian volunteers to bring Stewie home from his grandparents' house in California, but the two miss their plane and must travel on foot for a cross-country journey back home. Meanwhile, Peter becomes addicted to watching a collection of marriage counseling videos hosted by a porn star."
21,2,14,Let's Go to the Hop,7.8,"Peter goes undercover as a high school student named ""Lando Griffin"" to kick youths off the habit of toad licking, making him extremely popular in Meg's school. Meg asks her dad out to the upcoming school dance in the hopes of becoming popular herself, but Peter chooses to go out with popular Connie D'Amico instead."
22,2,15,Dammit Janet,7.4,"Stewie is sent off to daycare to learn social skills where he falls in love with a girl named Janet. Meanwhile, Lois begins wishing that her life were more exciting, so she gets a job as a flight attendant at Peter's request, who exploits Lois' job position as a means to get free travel for himself."
23,2,16,There's Something About Paulie,6.9,"Peter befriends a mob boss's nephew, Big Fat Paulie, while paying off a debt. But when he says that Lois does not want them to hang out anymore, Paulie misinterprets the situation and thinks that Peter wants him to kill her so they can still be friends. When Peter explains this to Paulie, he agrees to call off the hit, but he is suddenly gunned down by rival mobsters before he can place the phone call. As such, Peter must find a way to call off the hit."
24,2,17,He's Too Sexy for His Fat,7.7,"Chris becomes insecure about his weight and goes on a diet, but Peter opts for plastic surgery and ends up getting it himself. Now thin and handsome, Peter becomes swayed by the special treatment he receives from people he comes across, while Lois, in spite of her morals, finds that she can not resist him. Meanwhile, Stewie starts overeating to taunt Chris, but ends up becoming obese."
25,2,18,E. Peterbus Unum,8.1,"While confronting the mayor about zoning issues around his house, Peter discovers that his house is not anywhere on the map, prompting him to secede his house from the rest of the United States, creating the country ""Petoria"". His country gains no respect, so he invades the U.S. and annexes Joe's pool."
26,2,19,The Story on Page One,7.4,"Meg signs up for the high school newspaper club as Brown University's academic requirement, but Peter replaces her original article with one about Luke Perry's supposed homosexuality. This lands Meg in hot legal water with Perry, so Peter decides to ""prove"" that the actor is gay."
27,2,20,Wasted Talent,8.1,"Peter wins a tour of a magical brewery owned by Pawtucket Pat (à la Charlie and the Chocolate Factory and its film adaptation), while Lois desperately searches for a talented piano player to beat her rival at an upcoming talent competition, finding one in the form of her husband, who can only play professionally when he's drunk."
28,2,21,"Fore, Father",7.2,"Peter thinks his son lacks responsibility, so he gets him a job at a golf course. However, when he discovers that Cleveland's son has the potential to become a pro golf player, he forsakes Chris to train the hyperactive Cleveland Jr. instead. Discouraged, Chris finds a new father figure in Quagmire."
29,3,1,The Thin White Line,8,"Peter wins the Griffin family a cruise after winning a company competition. Shortly before the family prepares to leave, Joe recognizes the sensitivity of Brian's nose and offers him a job detecting drugs as a police sniffer dog. At the airport, Brian uncovers a bystander carrying cocaine; however, he accidentally inhales it and becomes addicted to it, with him becoming diritier and more hostile towards his family. Eventually, the family stages an intervention for Brian with his psychiatrist, during which he has an emotional breakdown. The family compromises on sending him to rehab with their vacation money. Peter joins Brian since he now cannot go on vacation, and the two cause unrest among their fellow patients by causing premature births in pregnant teens. After the two are caught, Peter is accused of being Brian's ""x-factor""; however, Brian manages to defend him and decides to leave the center. The Griffins throw a party to celebrate Brian's return, but are shocked when he announces that he is leaving Quahog to continue the search for the thrill of his life."
30,3,2,Brian Does Hollywood,7.6,"Brian moves to Los Angeles with his cousin Jasper after his drug rehabilitation and inadvertently becomes a film director. The family decides to visit Brian for support in his new career; however, when it turns out Brian is directing pornography, he attempts to keep it a secret from the family. Meanwhile, Stewie auditions for Kids Say the Darndest Things in order to unleash a mass hypnosis; however, during the show the following night, host Bill Cosby grabs Stewie's device and unwittingly foils his plan. Elsewhere, Brian is nominated for Best Director at the Woody Awards for adult films; Jasper informs the Griffin family about Brian's job and attend the awards, much to Brian's relief. By the end of the episode, he decides to return to Quahog with his family."
31,3,3,Mr. Griffin Goes to Washington,7.5,"The Happy-Go-Lucky Toy Factory is purchased by a tobacco conglomerate. Lois develops concern for Peter and believes the company is promoting underage smoking; Peter attempts to confront management, but is distractingly appointed president in the process; the family is pampered and treated elegantly as a result. At a meeting, the company decides to send Peter to Washington, D.C. in order to prevent a new anti-smoking bill from being passed into Congress. At home, Lois catches Stewie smoking and attempts to take the family to the meeting in Washington; although Peter prepares to deliver his speech on the floors of Congress assembled, he spots Stewie coughing from smoking and tells Congress to reject El Dorado's proposal. When they agree, El Dorado is fined as a result, driving the company to bankruptcy."
32,3,4,"One If by Clam, Two If by Sea",7.6,"A hurricane demolishes the majority of the buildings in Quahog—except the Drunken Clam; however, the bar's owner leaves for Florida sells it to an Englishman named Nigel Pinchley, who turns it into a British stereotypical pub. Upset over the loss of their favorite bar and failing to find another one, Peter, Quagmire, Cleveland, and Joe storm a British ship in an attempt to recreate the Boston Tea Party with beer. The following night, the pub burns down; Peter, Quagmire, Cleveland, and Joe are blamed and thrown in jail. In prison, one of the toughest criminals Joe ever jailed, Steve Bellows, plans to kill him and the others at midnight on Saturday. Meanwhile, in a parody of My Fair Lady, Stewie tries to teach Nigel's daughter, Eliza, to speak ""proper"" English and overcome her ""common"" Cockney accent as part of a bet with Brian; although he manages to teach her how to speak ""properly"", at the party, she urinates in front of everybody, slipping back to her Cockney accent and making Stewie lose the bet. Lois, Bonnie, and Loretta decide to investigate the bar's destruction, and discover that Nigel had withdrawn a large amount of insurance money the day before the pub burned down, they become suspicious. Lois seduces Nigel into confessing, and his insurance agent discovers the entire story. In jail, Peter, Quagmire, Cleveland, and Joe are rescued before Steve has a chance to kill them, and the Drunken Clam is reinstated to its normal form. In London, Nigel is hanged and Eliza is sent to an orphanage."
33,3,5,And the Wiener Is...,7.6,"Peter is intimidated by Chris' larger penis and then becomes very self-conscious about his own manhood, joining a gun club to make himself feel more masculine. Peter decides to take Chris on a hunting trip with his new gun, where the two are attacked by a bear; Chris manages to save both of them by making loud noises and jumping in front of the bear. Peter apologizes to Chris and realizes that being a man is about bravery and not size. Meanwhile, Meg tries out for cheerleading but is accepted into the flag girl squad instead, where she is pelted with rancid meat by several of the more popular children in her school. The next day, Lois instructs Meg to make friends with Connie D'Amico and prank her whenever the time is right. However, the plan fails when the popular kids trick Meg at Connie's sixteenth birthday, where they trick her into kissing a pig she thought was a popular boy. However, Lois and Meg have the last laugh when the former sends Quagmire to molest the teenagers."
34,3,6,Death Lives,8,"On their wedding anniversary, Peter sends Lois all over Quahog on a scavenger hunt so he can go play golf. But when Peter gets struck by lightning and has a near-death experience, he meets Death again, who explains to Peter his marriage is in trouble if he does not have a revelation, and fast."
35,3,7,Lethal Weapons,7.3,"Lois takes taijutsu lessons to fight back against the leafers (New York tourists) overtaking the town, but worries that her violence may be a bad influence on her family. When anger management only makes everyone even more angry, they engage in an all-out brawl to get it out of their system."
36,3,8,The Kiss Seen Around the World,6.7,"Meg applies for an internship at Quahog 5 (due to her crush on news anchor Tom Tucker), but so does the annoying Neil. When she is reluctantly driven to kiss Neil, he broadcasts the word of their ""love"" on the news. Meanwhile, a bully learns not to mess with Stewie when he steals his new tricycle, and a man embarrasses Peter by calling him a phony wherever he goes."
37,3,9,Mr. Saturday Knight,7.4,"Peter's boss, Mr. Weed, dies during a dinner with the Griffin family, and the toy factory is demolished as a result. Now unemployed, and failing to find himself other jobs, Peter decides to live his dream of being a Renaissance fair jouster, where he must defend his family's honor from his former idol."
38,3,10,A Fish Out of Water,7.1,"After nearly two weeks of unemployment, Peter decides to begin a new career as a fisherman, but faces problems when he has to pay off a boat loan, so he tries to catch the bounty for a legendary fish. Meanwhile, Lois takes Meg to the beach for spring break, but Lois ends up having more fun and getting on better with the spring breaking teens than Meg."
39,3,11,Emission Impossible,8.1,"After delivering Lois' sister's newborn child, Lois and Peter decide to have another baby, prompting Stewie to do whatever he can to stop it, even if it means shrinking himself and wiping out every sperm in Peter's testicles. However, when he meets a sperm just like himself, Stewie begins to reconsider."
40,3,12,To Love and Die in Dixie,8.1,"The family moves to the deep South when a criminal threatens to kill Chris for witnessing his crime. There Chris befriends a kid named Sam, whom he is forbidden to see by Sam's father when Peter questions the accuracy of a Civil War reenactment. But there seems to be more to Sam than meets the eye."
41,3,13,Screwed the Pooch,7.4,"The family visits Lois' parents, the Pewterschmidts, where Brian takes out all of his pent-up sexual energy on the Pewterschmidts' prize-winning racing greyhound, Sea Breeze. A custody battle then ensues when Sea Breeze is revealed to be pregnant, and Brian is threatened to be neutered."
42,3,14,"Peter Griffin: Husband, Father... Brother?",7.6,"While teaching Chris about his Irish heritage, Peter discovers that he has a black ancestor. When this affects his social status and he finds out that his ancestor was a slave to Lois' family, Peter fights back. Meanwhile, Stewie tries to learn mind control from the school cheerleaders."
43,3,15,"Ready, Willing, and Disabled",7.6,"Joe feels discouraged after failing to catch a thief during a chase, so Peter tries to get his self-confidence back by entering him in a handicapped people's decathlon, but with Joe still helpless, he rigs his drinks with steroids. Meanwhile, Chris, Meg and Stewie fight over $26 in a money clip."
44,3,16,A Very Special Family Guy Freakin' Christmas,7.6,"It is Christmas time in Quahog, a time when Lois' plans for a perfect holiday blow up in her face, causing her to break down and go berserk. Stewie uses his role as the baby Jesus in the town play to be good for Santa Claus, about whom he has become paranoid, and to bring Lois back to Earth."
45,3,17,Brian Wallows and Peter's Swallows,7.4,"Brian gets a DUI and, as punishment, he is forced to care for Pearl, a bitter old lady. After discovering that she was actually a brilliant opera singer during the 1940s and 50s who was shamed into seclusion once she faced demands to sing her famous radio jingles, Brian tries to brighten her life. Meanwhile, Peter grows a beard and discovers that a family of rare swallows have housed themselves in it."
46,3,18,From Method to Madness,7.4,"Stewie signs up for an acting class, where he's paired up with a stuck-up child star named Olivia. They become a hit, though the fame quickly sets in and they soon start bickering. Meanwhile, Peter and Lois object to Meg dating a nudist, though later have second thoughts after seeing her upset."
47,3,19,"Stuck Together, Torn Apart",7.6,"Peter and Lois are advised to go through a trial separation after Peter becomes jealous over Lois reuniting with an old boyfriend, and he hooks up with Jennifer Love Hewitt. Meanwhile, Stewie and Brian get stuck together after Stewie plays around with industrial-strength glue."
48,3,20,Road to Europe,7.8,"Stewie becomes obsessed with a British kids' show and runs away to be part of the cast, and Brian gives chase in an attempt to bring him back. Meanwhile, Peter and Lois go to see a Kiss concert, where Lois reveals she knows nothing about the band, much to Peter's humiliation."
49,3,21,Family Guy Viewer Mail #1,7.5,"Brian and Stewie host a special episode of Family Guy, featuring three non-canon stories created from viewer requests. No Bones About It – A genie comes to Peter to grant him wishes; his last wish makes it so that he has no bones and must deal with life as a lump of lard. Supergriffins – The Griffins are exposed to nuclear waste and gain superpowers, which lead them to terrorize the city. Li'l Griffins – Tot-like versions of Peter and Quagmire try to out-brave each other in a haunted house to impress Lois in this Little Rascals parody."
50,3,22,When You Wish Upon a Weinstein,7.4,"Peter prays for a Jew to help him with his money woes. After befriending a Jewish accountant, Max Weinstein, and discovering the wonders of their religion, Peter gets the ridiculous idea of converting Chris to Judaism as soon as possible so he will be successful in life, but Lois tries to stop him, claiming that success is not based on religion."
51,4,1,North by North Quahog,7.8,"Realizing their marriage has lost its spice because of Lois calling several male actors' names while having sex, Peter and Lois go on a second honeymoon, and leave Brian in charge of the kids. On their way over, Peter accidentally crashes the car, and he decides to pose as actor Mel Gibson so he and Lois can stay in his luxury hotel suite. They discover and attempt to destroy a copy of the unwanted sequel of The Passion of the Christ, and run afoul of the priests who come to retrieve it. As Peter buries the film in a cornfield, Lois is kidnapped by Gibson's associates, who want the film in return. Peter exchanges the film reel for Lois on the top of Mount Rushmore. As they are about to leave, Gibson discovers that Peter has replaced the film with dog feces, leading to a chase. Gibson eventually falls off the mountain, and Peter and Lois have intercourse on the face of the mountain and put the spice back in their marriage. Meanwhile, when Chris is caught and is accused of drinking alcohol by Jake Tucker, Brian and Stewie attempt to reveal his bad behavior to Tom Tucker, Jake's father, but Tom rejects this. Then, they both put drugs in Jake's locker, resulting in Jake's arrest."
52,4,2,Fast Times at Buddy Cianci Jr. High,7.6,"Brian becomes a substitute English teacher at Chris' school, after the departure of the former English teacher. Brian is transferred to a class for troubled hoodlum teenagers and has a hard time reaching them. He eventually inspires them to aspire to low-level jobs. Meanwhile, Chris becomes attracted to Mrs. Lockhart, Brian's replacement teacher. She promises to return his love if he helps her murder her husband. Chris does not agree, and Mrs. Lockhart gets a bear to commit the crime. Lois and the rest of the family assume Chris murdered Mr. Lockhart and cover up the crime, until the Channel 5 News reports that he was not involved."
53,4,3,Blind Ambition,7.5,"After he is discovered spying on Lois in the ladies room, Quagmire is soon arrested and is taught self-control through operant conditioning by Peter and his friends. He finds it hard to depart from his sexual behavior and, trying to adapt to normal life, he accidentally enters a CCTV camera operation room, where he notices a woman in a changing room is having a heart attack. He gives her CPR and is praised by the Quahog community for his heroic behavior, though he intended to molest the woman while she was unconscious. Jealous of his friend's achievement, Peter does whatever he can to achieve something he will be remembered for. However, his ambitions, ultimately cost him his eyesight. While he is blind, he unknowingly rescues the owner of the local bar from a fire and is awarded a medal by the mayor and receives an eye transplant from a homeless man after Peter's seeing-eye dog accidentally drags the man to death."
54,4,4,Don't Make Me Over,7.4,"Meg gets a makeover to boost her confidence. Meanwhile, Peter aspires to start a rock band, along with Meg's new singing voice, which causes the entire family to become a traveling band and earns them a spot on Saturday Night Live as Meg develops an extremely arrogant and rude attitude. Meg is seduced by Jimmy Fallon, and has sexual intercourse with him, but discovers that the entire encounter is being aired on live television as part of the show. Peter attacks and beats up Fallon in revenge. Afterward, Meg returns to her old look as she feels ""being beautiful is too much work"". It is then revealed that the entire show is on a set, and the Griffins leave the living room and walk to the main stage where the rest of the episode's cast has gathered, Peter thanks everyone in the style of Saturday Night Live."
55,4,5,The Cleveland–Loretta Quagmire,7.6,"Cleveland's wife Loretta starts an affair with Quagmire and is secretly caught red-handed by Peter and Brian. Brian and Peter eventually inform Cleveland, who encounters Loretta. Loretta leaves Cleveland because she feels he is too soft. Because Cleveland responds in his usual mild-mannered way, Peter decides to teach Cleveland to express his true emotions. When one of his methods finally works, Cleveland becomes mad and intends to kill Quagmire. However, when Cleveland locates Quagmire, he realizes he can't kill another human being, even though he betrayed him. Cleveland and Quagmire apologize to each other and Cleveland divorces Loretta for her behavior and sexual intercourse with Quagmire. At Quagmire's insistence, they take out their remaining aggressions on each other in a boxing ring."
56,4,6,Petarded,8.2,"Peter becomes so convinced that he is a genius that Brian challenges him to prove it. Peter takes the MacArthur Fellows Program, which reveals that Peter is mentally retarded. While Peter is initially depressed, he observes that people more easily forgive his actions when he states he is retarded, meaning he can get away with a lot of things. While exploiting the perks that come with his handicap he accidentally throws boiling oil on Lois. While she is recovering, Child Protection Services takes away Peter's custody of Meg, Chris, and Stewie, due to their contention that Peter is mentally unfit to look after them. However, when he is unable to regain custody of his kids and accepts that his family may never reunite, Lois, who fully recovered, enters the house and explains she regained custody of the kids."
57,4,7,Brian the Bachelor,7.4,"Peter, Quagmire and Joe try to help Cleveland find a new girlfriend after his break-up with Loretta. Peter takes him to auditions for ABC reality show The Bachelorette, but Brian eventually ends up being cast, after Peter and Cleveland are caught on a ridiculous manner. Brian does not like the show and only joins for a vacation. However, he discovers he has a lot in common with the bachelorette, Brooke. She eventually picks Brian, but all the romance is gone once the cameras are turned off. Meanwhile, Chris befriends with a talking pimple on his face, who orders him to make mischief. The pimple gets Chris into breaking property of Mort's Goldman's Pharmacy. When Joe discovers that Chris is the person behind the crimes, Peter chases Chris with a belt as Joe joins the chase and Lois shattering in tears. However, Chris decides to go to a dermatology clinic, the pimple threatens him with a gun, but Chris is eventually able to ""kill"" it."
58,4,8,8 Simple Rules for Buying My Teenage Daughter,7.5,"Peter opens a tab at Mort Goldman's pharmacy, unaware of how the tab system works; Peter simply believes he can buy a lot of things without having to pay for them. When Goldman calls in Peter's debt of $34,000, Peter sells him Meg to cover the expenses. The Goldmans start using Meg as a slave. Brian finds a clause in the contract stating that it is invalid if Neil cheats on Meg. Lois dresses up as Mystique and seduces Neil at a fake X-Men convention. Neil tells Meg that he only wants her to be with him if she wants to be with him and tears up the contract. Meanwhile, Stewie falls for LaDawn, his new babysitter who already has a boyfriend. Stewie ties him up and puts him in the trunk of Brian's car. After LaDawn punishes Stewie for touching her breast, Stewie drugs her and frames her, telling Lois she invited friends over to the house to do drugs. However, once Lois fires LaDawn, Stewie realizes he has made a mistake, but is unable to find her."
59,4,9,Breaking Out Is Hard to Do,7.6,"Lois becomes kleptomaniacal and is sent to prison after she goes on a shoplifting spree, which leaves the rest of the family in a terrible state of disarray. To bring their lives back to normal, Peter breaks Lois out of jail and, as fugitives from the law, he intends to start a new life with his family in ""Asiantown"". However, they are eventually tracked down by Joe, who pursues them through the city sewers. On the run from Joe, Lois decides to surrender and face the consequences. As he tries to catch them, Joe slips and nearly falls from a ledge. Lois pulls him to safety, and to thank her, Joe manages to get her sentence cancelled."
60,4,10,Model Misbehavior,7.3,"Lois fulfills her lifelong dream of being a fashion model after appearing in her underwear in the newspaper. Peter, however, grows increasingly concerned that she may be losing touch with reality. After he limits her options as a model, Lois becomes more and more rebellious and Peter decides to ask Lois' father Carter for help. However, once they kidnap Lois at a Vogue party, Peter realizes that Carter's methods are too harsh and tells Lois she has the right to be a model if it makes her happy. Realizing that she has had the freedom to fulfill her wishes, Lois decides to quit modeling after all. In a subplot Brian works on a pyramid scheme with Stewie to pay off a debt to him. However, Brian eventually gets fed up with Stewie's pretending Ca$hscam is a real company. He gets mad and is fired by Stewie."
61,4,11,Peter's Got Woods,7.5,"Brian falls for Shauna, an African-American teacher at Meg's school, and petitions to have the name of the ""James Woods High School"" changed just to please her. Peter objects and has James Woods come to the school to protect its name, even though Woods was in delight to have the school's name changed. Peter and James become friends and start to hang out together, with Woods eventually taking over Brian's place. Shauna is upset that Brian and Peter are still friends after Peter's actions, and makes Brian choose between her and Peter. Brian breaks up with Shauna and eventually patches his differences with Peter at the local bar. Woods, unhappy with Brian and Peter becoming friends again, becomes extremely obsessive and obnoxious. Peter and Brian get rid of him by laying out a long line of Reese's Pieces as a promatic bait, trapping him in a crate and sending him to be stored away in a Secret Government Warehouse with hundreds of similar crates."
