id,characters
5,Peter Griffin
5,Joe Swanson
5,Bonnie Swanson
5,Lois Griffin
5,Meg Griffin
5,Stewie Griffin
5,Brian Griffin
5,Chris Griffin
5,Kevin Swanson
5,Mr. Weed
5,Johnson
5,Tom Tucker
5,Guillermo
5,Hideo
5,Little Orphan Timmy
5,Tammy
5,Teletubbies
5,The Grinch
5,Superman
5,Batman
5,Aquaman
5,Hawkman
5,Wonder Woman
5,Michelle Kwan
5,Vanna White
5,Pat Sajak
6,Peter Griffin
6,Chris Griffin
6,Meg Griffin
6,Lois Griffin
6,Stewie Griffin
6,Brian Griffin
6,Carrot Scalp
6,Leonard Cornfeathers
6,Sees You Coming
6,Watches You Pee
6,Chief Grand Cherokee
6,Change For A Buck
6,The Fonz
6,Speed Racer
6,Little Red Riding Hood
6,Running Bear
6,Deals With His Wrist
6,Saunders
6,Margaret
6,Patty
6,Schneider
6,Julie Cooper
6,Barbara Cooper
6,Cunningham Family
7,Brian Griffin
7,Peter Griffin
7,Lois Griffin
7,Stewie Griffin
7,Meg Griffin
7,Chris Griffin
7,Rupert
7,Diane Simmons
7,Tom Tucker
7,Jake Tucker
7,Felicia
7,John
7,Roy
7,Fluffy
7,Pillsbury Doughboy
7,Lady and the Tramp
7,Angus MacGyver
7,Dick Van Patten
7,Angela Lansbury
7,Alex Trebek
7,Joyce DeWitt
7,Liza Minnelli
8,Peter Griffin
8,Lois Griffin
8,Brian Griffin
8,Meg Griffin
8,Chris Griffin
8,Stewie Griffin
8,Marguerite Pewterschmidt
8,Sebastian
8,Carter Pewterschmidt
8,Barbara Pewterschmidt
8,Coco
8,Jonathan
8,Grady twins
8,Arthur Plimpton
8,Stephen Hawking
8,Marisa Tomei
8,Jack Nicholson
8,Ted Turner
8,Joe Swanson Greene
8,Abraham Lincoln
8,Ulysses S. Grant
8,Robert E. Lee
8,Bill Cosby
8,Malcolm-Jamal Warner
8,Niles Crane
8,Frasier Crane
8,Clyde
8,Blake
8,Mr. Brandywine
9,Peter Griffin
9,Francis Griffin
9,The Pope
9,Brian Griffin
9,Lois Griffin
9,Meg Griffin
9,Chris Griffin
9,Stewie Griffin
9,Thelma Griffin
9,Mr. Weed
9,Tom Tucker
9,Diane Simmons
9,Vern
9,Abraham Lincoln
9,Adolf Hitler
9,Al Capone
9,John Wilkes Booth
9,Superman
9,Scarecrow
9,Tin Man
9,Kristy McNichol
9,Jesus Christ
9,Isaac Washington
9,Pawtucket Red Sox
9,Bobby Hammill
9,Mr. Hammill
9,Jimmy Lawson
9,Mr. Lawson
9,Mrs. Lipstein
9,Luke
9,Nine
10,Peter Griffin
10,Lois Griffin
10,Meg Griffin
10,Chris Griffin
10,Stewie Griffin
10,Brian Griffin
10,Glenn Quagmire
10,Cleveland Brown
10,Joe Swanson
10,Loretta Brown
10,Bonnie Swanson
10,Clevemire
10,Tom Tucker
10,Diane Simmons
10,Tricia Takanawa
10,Ernie the Giant Chicken
10,Jorad
10,Bill Clinton
10,Hillary Clinton
10,Randy Newman
10,E.T.
10,Trix Rabbit
10,Twinkie the Kid
10,Alexander Hamilton
10,Aaron Burr
10,Bob
10,Thomas Magnum
10,Higgins
10,Pam and Bobby Ewing
10,Joan of Arc
10,Leonardo da Vinci
10,Norman Fell
11,Brian Griffin
11,Lois Griffin
11,Peter Griffin
11,Stewie Griffin
11,Chris Griffin
11,Meg Griffin
11,Quagmire
11,Cleveland Brown
11,Rupert
11,Tricia Takanawa
11,Tom Tucker
11,Diane Simmons
11,Jake Tucker
11,Dr. Bruce Kaplan
11,Glen and Judy Isaac
11,Angus Griffin
11,George Jetson
11,Jane Jetson
11,Elroy Jetson
11,Astro
11,Snoopy
11,Charles Lindbergh
11,Amelia Earhart
11,Bob Barker
11,Dan Rather
11,Dean Koontz
11,Fred Rogers
12,Peter Griffin
12,Cleveland Brown
12,Glenn Quagmire
12,Joe Swanson
12,Lois Griffin
12,Meg Griffin
12,Chris Griffin
12,Stewie Griffin
12,Brian Griffin
12,Loretta Brown
12,Bonnie Swanson
12,Kevin Swanson
12,Cleveland Brown
12,Jr.
12,Tom Tucker
12,Diane Simmons
12,Tricia Takanawa
12,Flappy
12,Sandy Belford
12,Jack & Sarah
12,Charlton Heston
12,Mrs. Kenner
12,Richard
12,Mrs. Stevens
12,Rod Serling
12,O.J. Simpson
12,Tony Danza
12,Judith Light
12,Pablo
12,Li
13,Death
13,Peter Griffin
13,Lois Griffin
13,Stewie Griffin
13,Brian Griffin
13,Chris Griffin
13,Meg Griffin
13,Dr. Hartman
13,Tom Tucker
13,Diane Simmons
13,Tricia Takanawa
13,Quagmire
13,Cleveland Brown
13,Adolf Hitler
13,Jewel
13,David Schwimmer
13,Matthew Perry
13,Leonardo DiCaprio
13,Kate Winslet
13,Karen Black
13,James Van Der Beek
13,Katie Holmes
13,Michelle Williams
13,Joshua Jackson
13,Mike Wallace
13,Lesley Stahl
13,Ed Bradley
13,Morley Safer
14,Peter Griffin
14,Lois Griffin
14,Brian Griffin
14,Stewie Griffin
14,Meg Griffin 
14,Chris Griffin
14,Cleveland Brown
14,Loretta
14,Quagmire
14,Joe Swanson
14,Tom Tucker
14,Diane Simmons
14,Robert Kimble
14,Mr. Weed
14,Guillermo
14,Tricia Takanawa
14,Judge
14,Dr. Hartman
14,Johnson
14,Bruce
14,Charlie
14,Li
14,Pablo
14,Flappy
14,Jake Tucker
14,Leonard Cornfeathers
14,Cleveland Brown
14,Jr.
14,Randall Fargus
14,Johnny Muldoon
14,God
14,Albert Einstein
14,Ben Stiller
14,Sean Penn
14,William Shatner
15,Peter Griffin
15,Lois Griffin
15,Gloria Ironbachs
15,Meg Griffin
15,Chris Griffin
15,Brian Griffin
15,Stewie Griffin
15,Quagmire
15,Cleveland Brown
15,Loretta Brown
15,Joe Swanson
15,Bonnie
15,Mr. Weed
15,Miss Watson
15,Jesse Jackson
15,Sarah Bennett
15,Mr. Hanson
15,Lizzy
15,Jim Kaplan
15,Huck Griffin
15,N-Word Jim
16,Peter Griffin
16,Chris Griffin
16,Lois Griffin
16,Stewie Griffin
16,Brian Griffin
16,Meg Griffin
16,Tom Tucker
16,Diane Simmons
16,Steven C. Callaghan
16,Dirk Bandit
16,Rufus Griffin
16,God
16,Jeremy the Terminally ill Boy
16,Bryant Gumbel
16,Greg Gumbel
16,Craig T. Nelson
16,Scott Bakula
16,LL Cool J
16,Dennis Rodman
16,Fran Drescher
16,Whoopi Goldberg
16,Betty White
16,Suzanne Sommers
16,Charlie Sheen
16,Mr. McCloud
16,Steinberg
16,Little Johnny Gobraun
16,Mr. Harris
16,Florida Evans
16,James Evans
16,Sr.
16,Pittsburgh Steelers
17,Peter Griffin
17,Lois Griffin
17,Stewie Griffin
17,Chris Griffin
17,Meg Griffin
17,Brian Griffin
17,Quagmire
17,Cleveland Brown
17,Tom Tucker
17,Diane Simmons
17,Tricia Takanawa
17,Principal Sloan
17,Betsy LaBeau
17,Randall Fargus
17,James Carville
17,Fab Morvan
17,Fred Rogers
17,Lee Majors
18,Peter Griffin
18,Chris Griffin
18,Antonio Monatti
18,Meg Griffin
18,Lois Griffin
18,Stewie Griffin
18,Brian Griffin
18,Joe Swanson
18,Bonnie Swanson
18,Kevin Swanson
18,Cleveland Brown
18,Loretta Brown
18,Glenn Quagmire
18,Carter Banks
18,Stephen King
18,Neptune
18,Kathy Griffin
18,Satan
18,Bing Crosby
18,Robert Mapplethorpe
18,Walt Disney
18,Minnie Mouse
18,Murphy Brown
18,Corky Sherwood
18,Jim Dial
18,Frank Fontana
18,Kate Moss
18,Big Bird
18,Calvin Klein
18,George Washington
18,Bobby Williams
18,Bob Funland
19,Meg Griffin
19,Peter Griffin
19,Lois Griffin
19,Stewie Griffin
19,Chris Griffin
19,Brian Griffin
19,Mayor Adam West
19,Joe Swanson
19,Bonnie Swanson
19,Kevin Swanson
19,Diane Simmons
19,Cleveland Brown
19,Loretta
19,Quagmire
19,"Miles ""Chatterbox"" Musket"
19,The Magical Clam
19,Ronald McDonald
19,Lisa McDonald
19,God
19,Guillermo
19,Soccer Mom
19,Jim Kaplan
19,Beth
19,Chet Brown
19,Wilshard Watkins
19,Other Meg Griffin
19,Tom Arnold
19,Fran Drescher
19,Philip Seymour Hoffman
19,Mary-Kate Olsen
19,Ashley Olsen
19,Bob Ross
19,Michael J. Fox
19,Meredith Baxter
19,Michael Gross
19,Tina Yothers
19,Justine Bateman
20,Brian Griffin
20,Stewie Griffin
20,Dr. Amanda Rebecca
20,Peter Griffin
20,Lois Griffin
20,Chris Griffin
20,Meg Griffin
20,Barbara Pewterschmidt
20,Carter Pewterschmidt
20,Luke
20,Betty
20,Dr. Bruce Kaplan
20,Osama bin Laden (removed after the original broadcast)
21,Peter Griffin
21,Meg Griffin
21,Chris Griffin
21,Brian Griffin
21,Lois Griffin
21,Stewie Griffin
21,Carter Pewterschmidt
21,Barbara Pewterschmidt
21,Tom Tucker
21,Diane Simmons
21,Connie DiMico
21,Gina
21,Neil Goldman
21,Doug
21,Principal Shepherd
21,Mr. Berler
21,Phoebe Diamond
21,U.S. Supreme Court
21,Toad Girl
21,Tony the Tiger
21,Toucan Sam
21,Cap’n Crunch
21,Lucky the Leprechaun
21,Trix Rabbit
21,Spider-Man
22,Stewie Griffin
22,Janet
22,Lois Griffin
22,Peter Griffin
22,Chris Griffin
22,Meg Griffin
22,Evil Monkey
22,Brian Griffin
22,Cleveland Brown
22,Quagmire
22,Rupert
22,Brad
22,Leonard
22,Tom Tucker
22,Diane Simmons
22,Melinda
22,The Cat in the Hat
22,Tinker Bell
22,Kurt Cobain
22,Courtney Love
22,Nikita Khrushchev
22,Kim Richards
22,Mr. and Mrs. Kravitz
23,Peter Griffin
23,Lois Griffin
23,Big Fat Paulie
23,Brian Griffin
23,Stewie Griffin
23,Meg Griffin
23,Chris Griffin
23,Cleveland Brown
23,Bonnie Swanson
23,Jim Kaplan
23,Reginald B. Stifworth
23,Jeremy
23,Shelley Boothbishop
23,Dharma
23,Greg
23,Alex Rieger
23,Tony Banta
23,Louie DePalma
23,Elaine Nardo
23,Mary Hart's legs
23,Bob Goen
23,Louie Anderson
23,Jackie Chan
23,David Schwimmer
23,Angela Bassett
23,Whoopi Goldberg
24,Chris Griffin
24,Peter Griffin
24,Lois Griffin
24,Stewie Griffin
24,Meg Griffin
24,Brian Griffin
24,Warren Fredericks
24,Dr. Ling
24,Logan
24,Phineas & Barnaby
24,Cleveland Brown
24,Broderick Brown
24,Jabba the Griffin
24,Jennifer Love Hewitt
24,James Caan
24,Old Yeller
24,Fidel Castro
24,Nelson Mandela
24,Boris Yeltsin
25,Peter Griffin
25,Mayor Adam West
25,Joe Swanson
25,Meg Griffin
25,Stewie Griffin
25,Chris Griffin
25,Lois Griffin
25,Brian Griffin
25,Josiah Griffin
25,Ulysses S. Griffin
25,Woodsy Owl
25,Tom Tucker
25,Diane Simmons
25,Tricia Takanawa
25,Cleveland Brown
25,Glenn Quagmire
25,Rupert
25,Muammar al-Gaddafi
25,Slobodan Milošević
25,MC Hammer
25,Bill Clinton
25,La Toya Jackson
25,Saddam Hussein
25,Fidel Castro
25,Idi Amin
25,Kim Jong-il
26,Meg Griffin
26,Peter Griffin
26,Lois Griffin
26,Stewie Griffin
26,Chris Griffin
26,Brian Griffin
26,Sherry
26,Anus
26,Thomas Jefferson
26,Ricky Martin
26,Jewel
26,Neil Goldman
26,Mayor Adam West
26,Luke Perry
27,Peter Griffin
27,Lois Griffin
27,Alexis Radcliffe
27,Brian Griffin
27,Meg Griffin
27,Chris Griffin
27,Stewie Griffin
27,Quagmire
27,Death
27,Pawtucket Pat
27,Chumbawumbas
27,Tom Tucker
27,Diane Simmons
27,Tricia Takanawa
27,Mayor Adam West
27,Cleveland Brown
27,Joe Swanson
27,Bonnie Swanson
27,Kevin Swanson
27,Johnson
27,The Nelsons
27,Jonas
27,Jimmy the Piano Player
27,Dr. Gary Miller
27,Dr. Fred Rubin
27,Horace
27,The Great Gazoo
27,Cap’n Crunch
27,Barbra Streisand
27,James Brolin
27,Cheech Marin
27,Tony Randall
27,Mary Richards
28,Peter Griffin
28,Cleveland Brown
28,Jr.
28,Chris Griffin
28,Stewie Griffin
28,Brian Griffin
28,Lois Griffin
28,Meg Griffin
28,Cleveland Brown
28,Glenn Quagmire
28,Joe Swanson
28,Kevin Swanson
28,Rupert
28,Evil Monkey
28,Paddy Tanniger
28,Tom Tucker
28,Robot Peter Griffin
28,Mrs. Quagmire
28,Christof
29,Brian Griffin
29,Peter Griffin
29,Lois Griffin
29,Chris Griffin
29,Meg Griffin
29,Stewie Griffin
29,Joe Swanson
29,Greased-up Deaf Guy
29,Bonnie Swanson
29,Glenn Quagmire
29,Cleveland Brown
29,Mr. Weed
29,Johnson
29,Loretta Brown
29,Derek and John
29,Rocky The Flying Squirrel
29,Tina
29,Horowitz
29,Jasper
29,Toucan Sam
29,Dr. Bruce Kaplan
30,Brian Griffin
30,Jasper
30,Stewie Griffin
30,Peter Griffin
30,Lois Griffin
30,Chris Griffin
30,Meg Griffin
30,Ricardo
30,Ron Jeremy
30,Samuel L. Jackson
30,Jenna Jameson
30,Joan Rivers
30,Melissa Rivers
30,Bill Cosby
30,Michael Eisner
30,Keanu Reeves
30,Ron Jones
30,Walter Murphy
30,John Williams
30,Zack
30,Charles Manson
30,Val Kilmer
30,Kevin Costner
30,Paul
31,Peter Griffin
31,Lois Griffin
31,Stewie Griffin
31,Meg Griffin
31,Chris Griffin
31,Brian Griffin
31,Jeremy the Terminally ill Boy
31,Kenneth
31,Mr. Weed
31,Johnson
31,Connor
31,Jerry
31,Bobby
31,Frank
31,Mr. Harrison
31,The Bill
31,Dilbert
31,Aunt Bea
31,Lassie and Timmy
31,Bob Dole
31,Dick Armey
31,Al Gore
31,George W. Bush
31,Mike Tyson
31,Martha Stewart
31,Jim Carrey
31,Boston Red Sox
31,New York Yankees
31,Alyssa Milano
31,Joel
32,Peter Griffin
32,Lois Griffin
32,Nigel Pinchley
32,Stewie Griffin
32,Eliza Pinchley
32,Meg Griffin
32,Chris Griffin
32,Brian Griffin
32,Cleveland Brown
32,Joe Swanson
32,Quagmire
32,Bonnie Swanson
32,Loretta Brown
32,Horace
32,Tom Tucker
32,Diane Simmons
32,God
32,Tricia Takanawa
32,Rupert
32,Maria Jimenez
32,Greg the Weather Mime
32,Steve Bellows
32,Carrothers
32,Eric
32,Queen Elizabeth II
32,Demond Wilson
33,Peter Griffin
33,Chris Griffin
33,Meg Griffin
33,Connie DiMico
33,Lois Griffin
33,Stewie Griffin
33,Brian Griffin
33,Glenn Quagmire
33,Cleveland Brown
33,Joe Swanson
33,Kevin Swanson
33,Thelma Griffin
33,Mr. Berler
33,Gina
33,Bonnie Swanson
33,Andy Capp
33,Rudolph the Red Nosed Reindeer
33,Imperial Stormtrooper
33,Luke Skywalker
33,Jesus
33,Moses
33,Petey the Pistol
33,Doug the jock
34,Peter Griffin
34,Death
34,Lois Griffin
34,Meg Griffin
34,Chris Griffin
34,Stewie Griffin
34,Brian Griffin
34,Death's Mother
34,Carter Pewterschmidt
34,Cleveland Brown
34,Quagmire
34,Amy
34,Diane Simmons
34,Tom Tucker
34,Peter Griffin Frampton
35,Lois Griffin
35,Peter Griffin
35,Brian Griffin
35,Chris Griffin
35,Meg Griffin
35,Stewie Griffin
35,Joe Swanson
35,Bonnie Swanson
35,Kevin Swanson
35,Glenn Quagmire
35,Cleveland Brown
35,Jared Fellows
35,Dr. Morin
35,Lucy van Pelt
35,General Zod
35,Ursa
35,Non
35,Mary Poppins
35,Michael and Jane Banks
35,New England Patriots
35,New York Jets
35,Pittsburgh Steelers
35,Keanu Reeves
35,Sandra Bullock
35,New York Mets
35,Father Sapienza‎‎
36,Meg Griffin
36,Neil Goldman
36,Stewie Griffin
36,Peter Griffin
36,Lois Griffin
36,Chris Griffin
36,Brian Griffin
36,Tom Tucker
36,Diane Simmons
36,Connie D'Amico
36,Mr. Berler
36,Principal Shepherd
36,Elmer Hartman
36,Mayor Adam West
36,Mort Goldman
36,Muriel Goldman
36,Holden Caulfield
36,Charlie the Bully
36,Mass Media Murderer
36,William Shatner
36,Gorn
36,Fred Lubbins
36,Mr. Lazenby
36,Al Calavicci
36,Abe Vigoda
36,Hugh Downs
36,Christopher Columbus
36,God
37,Peter Griffin
37,Mr. Weed
37,The Black Knight
37,Lois Griffin
37,Brian Griffin
37,Meg Griffin
37,Stewie Griffin
37,Chris Griffin
37,Ollie Williams
37,Death
37,Death's Dog
37,Johnson
37,Mort Goldman
37,Bruce
37,Jimmy Hopkins
37,Danielle
37,Rupert
37,Tom Tucker
37,Diane Simmons
37,Tricia Takanawa
37,Leonard Hale
37,Margot Kidder
37,Richard Dawson
37,Gene Rayburn
37,Betty White
37,Charles Nelson Reilly
37,Brett Somers
37,Maid Madeline
37,Barbara
38,Peter Griffin
38,Lois Griffin
38,Meg Griffin
38,Chris Griffin
38,Stewie Griffin
38,Brian Griffin
38,Joe Swanson
38,Cleveland Brown
38,Quagmire
38,Jim Kaplan
38,Seamus
38,Salty
38,Daggermouth
38,Boom Boom
38,Spuds MacKenzie
38,Tom Tucker
38,Jake Tucker
38,Hennessey
38,The Stevensons
38,Connie DiMico
38,Gina
38,Principal Shepherd
38,Doug
38,Mordecai
38,the Dancing Yiddish Clown
38,Harelip Steve
38,Carson Daly
38,Bernard Shaw
39,Stewie Griffin
39,Lois Griffin
39,Peter Griffin
39,Carol Pewterschmidt
39,Bertram
39,Chris Griffin
39,Meg Griffin
39,Brian Griffin
39,Quagmire
39,Mayor Adam West
39,Dr. Hartman
39,Cleveland Brown
39,Joe Swanson
39,Rupert
39,The Brady Bunch
40,Chris Griffin
40,Peter Griffin
40,Sam
40,Brian Griffin
40,Meg Griffin
40,Lois Griffin
40,Stewie Griffin
40,Barbara
40,Herbert
40,Mass Media Murderer
40,The Cowtones
40,Oinky
40,Jeff Foxworthy
40,Buck Owens
40,ALF
40,Glenn Quagmire
40,Horowitz
41,Brian Griffin
41,Seabreeze Pewterschmidt
41,Peter Griffin
41,Carter Pewterschmidt
41,Chris Griffin
41,Stewie Griffin
41,Lois Griffin
41,Meg Griffin
41,Barbara Pewterschmidt
41,Joe Swanson
41,Quagmire
41,Cleveland Brown
41,Mort Goldman
41,Tom Tucker
41,Tricia Takanawa
41,Bob Cratchet
41,Jesus
41,Vishnu
41,The Epsteins
41,Ted Turner
41,Michael Eisner
41,Bill Gates
42,Peter Griffin
42,Chris Griffin
42,Nate Griffin
42,Stewie Griffin
42,Lois Griffin
42,Brian Griffin
42,Meg Griffin
42,Carter Pewterschmidt
42,Barbara Pewterschmidt
42,Cleveland Brown
42,Cindi
42,Thomas Griffin
42,Osias Griffin
42,Glenn Quagmire
42,Mushmouth
42,Dumb Donald
42,Weird Harold
42,Bucky
42,Russell Cosby
42,Rudy Davis
42,Dennis Miller
42,O.J. Simpson
42,Big Dog
42,T-Bone
42,Shades
43,Joe Swanson
43,Peter Griffin
43,Meg Griffin
43,Stewie Griffin
43,Chris Griffin
43,Lois Griffin
43,Brian Griffin
43,Cleveland Brown
43,Bonnie Swanson
43,Kevin Swanson
43,Glenn Quagmire
43,Tony Danza
43,Bea Arthur
43,John Lennon
43,Yoko Ono
43,Jim Kaplan
43,Steve
43,Mort
43,Deceased Indian Chief
43,Evil Monkey
43,Evil Monkey's wife
43,Richard Simmons
43,Paul Prudhomme
43,Peter Griffin Yarrow
43,Paul Lewis
43,Eddie Griffin
43,Valerie Bertinelli
43,Phineas & Barnaby
43,Mr. Taylor
43,Odai Mutambo
43,Beth
44,Lois Griffin
44,Peter Griffin
44,Stewie Griffin
44,Chris Griffin
44,Meg Griffin
44,Brian Griffin
44,Joe Swanson
44,Bonnie Swanson
44,Cleveland Brown
44,Glenn Quagmire
44,Buck
44,Bob
44,KISS
44,Bob Hope
44,Frosty the Snowman
44,The Three Wisemen
44,Jimmy Stewart
44,Pittsburgh Steelers
44,New England Patriots
45,Peter Griffin
45,Brian Griffin
45,Pearl Burton
45,Chris Griffin
45,Meg Griffin
45,Lois Griffin
45,Stewie Griffin
45,Joe Swanson
45,Glenn Quagmire
45,Cleveland Brown
45,Mayor Adam West
45,Judge
45,Tom Tucker
45,Diane Simmons
45,Neil Goldman
45,Dr. Hartman
45,Dr. Goodman
45,Tina
45,Jonas
45,Grizzly Adams
45,Wooly Willie
45,A. J. Benza
45,Corey Feldman
45,Corey Haim
45,Sandy Duncan
45,Pee Wee Herman
45,John & Patricia Ramsey
45,Ronald Reagan
45,George W. Bush
46,Stewie Griffin
46,Olivia Fuller
46,Meg Griffin
46,Jeff Campbell
46,Peter Griffin
46,Lois Griffin
46,Brian Griffin
46,Chris Griffin
46,Dave Campbell
46,Dotty Campbell
46,Herbert
46,Glenn Quagmire
46,Elroy Jetson
46,Bamm-Bamm Rubble
46,Santos & Pasquel
46,Doug
46,Simon
46,Mr. & Mrs. Fuller
46,Mark Hentemann
47,Peter Griffin
47,Lois Griffin
47,Stewie Griffin
47,Brian Griffin
47,Meg Griffin
47,Chris Griffin
47,Cleveland Brown
47,Glenn Quagmire
47,Joe Swanson
47,Mort Goldman
47,Muriel Goldman
47,Neil Goldman
47,Jennifer Love Hewitt
47,Ross Fishman
47,Brenda
47,Howie Mandel
47,Hugh Grant
47,Angie
47,Jeremy the Terminally ill Boy
47,his mother
47,Nancy the Postal Lady
47,Thomas Magnum
47,Higgins
47,Gallagher
47,Peppermint Patty
47,Marcie
47,Holden Caulfield
47,Pac-Man
47,Blinky
47,Clyde and Funky
48,Peter Griffin
48,Lois Griffin
48,Stewie Griffin
48,Brian Griffin
48,Chris Griffin
48,Meg Griffin
48,KISS
48,The Pope
48,Dave Campbell
48,Dotty Campbell
48,Donny Sciberra
48,Jerry Seinfeld
48,Andy Rooney
48,Mother Maggie
48,Pengrove Pig
48,Melody Sheep
48,Chucky
49,Brian Griffin
49,Stewie Griffin
49,Lois Griffin
49,Peter Griffin
49,Meg Griffin
49,Chris Griffin
49,Glenn Quagmire
49,Cleveland Brown
49,Joe Swanson
49,Mort Goldman
49,Carter Pewterschmidt
49,Barbara Pewterschmidt
49,Dr. Hartman
49,Death
49,Mayor Adam West
49,Hector
49,Carol & Nick
49,The Count
49,Scooby-Doo
49,Gene Shalit
49,Bob Eubanks
49,Michael Winslow
49,Barbara Walters
49,Meredith Vieira
49,Lisa Ling
49,Star Jones
49,Joy Behar
49,Michael Eisner
49,Kelly Ripa
49,Michael Douglas
49,Catherine Zeta-Jones
49,*NSYNC
50,Peter Griffin
50,Chris Griffin
50,Max Weinstein
50,Lois Griffin
50,Meg Griffin
50,Stewie Griffin
50,Brian Griffin
50,Glenn Quagmire
50,Cleveland Brown
50,Jim Kaplan
50,Optimus Prime
50,Brides of Christ
50,Herschel & Mordecai
50,Mrs. Wilson
50,Midge
50,Indiana Jones
50,Penguin
50,Luke Skywalker
50,Obi-Wan Kenobi
50,Lenny Kravitz
50,Jackie Gleason
50,Jerry Seinfeld
50,Jason Alexander
50,Woody Allen
50,Louis Farrakhan
50,Sinbad
50,Ed McMahon
50,Tony Robbins
51,Peter Griffin
51,Lois Griffin
51,Meg Griffin
51,Stewie Griffin
51,Brian Griffin
51,Chris Griffin
51,Jesus Christ
51,Margaret
51,Shelley Boothbishop
51,Principal Sloan
51,Jake Tucker
51,Tom Tucker
51,Stacy Tucker
51,Greased-up Deaf Guy
51,Herbert
51,Pinocchio
51,Geppetto
51,Flint
51,George Washington
51,Abraham Lincoln
51,Mel Gibson
51,Chris Griffin Tucker
51,Jim Caviezel
51,Dick Cheney
52,Chris Griffin
52,Brian Griffin
52,Mrs. Lockhart
52,Stewie Griffin
52,Meg Griffin
52,Lois Griffin
52,Peter Griffin
52,Greased-up Deaf Guy
52,Diane Simmons
52,Tom Tucker
52,Principal Sloan
52,Ms. Clifton
52,Carlos
52,Tim
52,Amanda
52,Jayna
52,Ted Danson
52,Matt Damon
52,Ben Affleck
52,Vincent van Gogh
52,Donny Osmond
52,Marie Osmond
52,Mary Steenburgen
53,Quagmire
53,Peter Griffin
53,Lois Griffin
53,Chris Griffin
53,Stewie Griffin
53,Meg Griffin
53,Brian Griffin
53,Cleveland Brown
53,Joe Swanson
53,Mort Goldman
53,Loretta Brown
53,Bonnie Swanson
53,Ernie the Giant Chicken
53,Mayor Adam West
53,Vern and Johnny
53,Stacy and Cheerleaders
53,Horace
53,Tom Tucker
53,Diane Simmons
53,Dr. Hartman
53,God
53,C-3PO
53,R2-D2
53,Chewbacca
53,Judd Hirsch
53,Joan Cusack
53,Superman
53,Wonder Woman
53,Batman
53,Aquaman
54,Peter Griffin
54,Lois Griffin
54,Meg Griffin
54,Chris Griffin
54,Stewie Griffin
54,Brian Griffin
54,Glenn Quagmire
54,Joe Swanson
54,Cleveland Brown
54,Mort Goldman
54,Patty
54,Esther
54,Ruth
54,Mayor Adam West
54,Horace
54,Gene Simmons
54,Tom Tucker
54,Connie DiMico
54,Gina
54,Craig Hoffman
54,Tricia Takanawa
54,Dr. Diddy
54,Effeminate cow
54,Jimmy Fallon
54,Jimmy Iovine
54,Ms. Swan
54,Neil Armstrong
54,George W. Bush
54,Tony
54,Dorothy
54,The Tin Man
54,Scarecrow
55,Peter Griffin
55,Brian Griffin
55,Cleveland Brown
55,Loretta Brown
55,Glenn Quagmire
55,Stewie Griffin
55,Meg Griffin
55,Lois Griffin
55,Chris Griffin
55,Joe Swanson
55,Bonnie Swanson
55,Santos & Pasquel
55,Mayor Adam West
55,Bruce
55,Barbershop Quartet
55,Dr. Hartman
55,Annika Sörenstam
55,Superman
55,Bamm-Bamm Rubble
55,Emeril Lagasse
55,Randy Savage
55,John Edward
55,Emperor Palpatine
55,Mr. Devanney
55,André the Giant
55,Mickey Goldmill
